Country name,country,Cropland,Grassland,Woodland and forest,Heathland and shrub,Sparsely vegetated land,Inland wetlands,Marine inlets and transitional waters,Rivers and lakes
Albania,ALB,258.65,12.38,16.36,12.69,2.6,0.18,0.09,0.19
Austria,AUT,108.04,46.96,50.64,2.18,0.69,0,0,0.12
Belgium,BEL,67.27,11.01,10.61,12.55,0,0.35,0.2,2.32
Bosnia and Herzegovina,BIH,91.55,13.74,18.84,5.7,1.42,0,0,0
Bulgaria,BGR,74.52,32.84,19.47,0.7,0.24,0.04,0.02,0.78
Croatia,HRV,49.52,37.69,83.42,8.99,2.6,0,0.13,0
Cyprus,CYP,111.4,10.15,4.41,28.84,1.22,0.04,0.12,0
Czechia,CZE,230.4,54.07,25.5,0,0,0,0,0.09
Denmark,DNK,224.1,3.57,10.29,0,1.15,0.21,1.57,0
Estonia,EST,30.11,19.66,59.41,0.27,0.32,8.29,1.78,0
Finland,FIN,40.5,0.83,236.32,0,0.37,6.61,1.23,0.4
France,FRA,1524.79,346.9,243.29,30.92,2.63,0.7,2.9,1.53
Germany,DEU,911.56,242.79,198.16,4.83,11.31,1.15,6.42,4.49
Greece,GRC,269.4,57.8,28.75,61.69,2.94,0.45,0.86,0.01
Hungary,HUN,242.35,54.68,20.12,0,0,2.12,0,0.87
Iceland,ISL,0,12.12,2.23,48.49,1.76,4.23,0.69,0
Ireland,IRL,75.57,158.99,9.05,0.18,0,4.12,0.02,0.07
Italy,ITA,865.43,32.42,36.31,10.36,1.69,0.21,0.47,0.4
Kosovo,XKX,37.06,5.58,4.69,0,0.38,0,0,0
Latvia,LVA,16.19,18.21,15.91,0,0.34,1.92,0.07,0.49
Liechtenstein,LIE,0.29,0,0.05,0,0,0,0,0
Lithuania,LTU,62.77,26.31,8.8,0,0,0.1,0.01,0.01
Luxembourg,LUX,7.16,5.56,1.91,0,0,0,0,0
Malta,MLT,0.87,0,0,0.32,0,0,0,0
Montenegro,MNE,5.19,2.76,11.02,2.82,1.17,0,0.01,0
Netherlands,NLD,383.68,231.75,10.76,0.57,0,0.92,11.33,3.2
North Macedonia,MKD,34.28,10.51,8.98,2.32,0.01,0.01,0,0
Norway,NOR,36.8,1,225.72,23.61,13.76,12.06,0.11,0.02
Poland,POL,826.65,145.06,159.87,0,0,0.64,0.02,1.02
Portugal,PRT,158.51,22.03,224.14,23.64,6.58,0,0.7,1.83
Romania,ROU,278.35,74.59,18.18,0,1.37,1.31,0,0.08
Serbia,SRB,81.06,9.34,21.45,0,0,0.65,0,0.23
Slovakia,SVK,120.45,3.54,12.62,0,0,0,0,0
Slovenia,SVN,9.98,0.38,11.85,0,0,0,0.21,0.05
Spain,ESP,1681.14,339.92,162.31,238.17,47.34,0,3.24,2
Sweden,SWE,108.87,10.65,239.03,1.69,0.78,8.16,0.19,0.91
Switzerland,CHE,22.11,2.72,3.75,0,0.18,0,0,0
Türkiye,TUR,1394.2,590.56,548.3,49.5,260.97,1.99,7.63,11.59
United Kingdom,GBR,469.67,373.6,109.27,47.04,1.26,48.45,0.36,0.96
